MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210209,6025,Imperial,CA,0,7.5,89.52,2.98,0,0,2021-02-09,2021-02-15,2
20210202,6025,Imperial,CA,0,7.5,89.52,2.98,0,0,2021-02-02,2021-02-08,2
20210126,6025,Imperial,CA,0,5.78,91.13,3.1,0,0,2021-01-26,2021-02-01,2
20210119,6025,Imperial,CA,0,5.78,14.49,79.51,0.22,0,2021-01-19,2021-01-25,2
20210112,6025,Imperial,CA,0,5.78,14.37,79.63,0.22,0,2021-01-12,2021-01-18,2
20210105,6025,Imperial,CA,0,5.81,14.55,79.42,0.22,0,2021-01-05,2021-01-11,2
20201229,6025,Imperial,CA,0,6.14,14.22,79.42,0.22,0,2020-12-29,2021-01-04,2
20201222,6025,Imperial,CA,0,6.14,14.22,79.42,0.22,0,2020-12-22,2020-12-28,2
20201215,6025,Imperial,CA,0,6.14,14.18,79.46,0.22,0,2020-12-15,2020-12-21,2
20201208,6025,Imperial,CA,0,6.14,68.03,25.83,0,0,2020-12-08,2020-12-14,2
20201201,6025,Imperial,CA,0,6.84,67.33,25.83,0,0,2020-12-01,2020-12-07,2
20201124,6025,Imperial,CA,0,6.84,67.33,25.83,0,0,2020-11-24,2020-11-30,2
20201117,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-11-17,2020-11-23,2
20201110,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-11-10,2020-11-16,2
20201103,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-11-03,2020-11-09,2
20201027,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-10-27,2020-11-02,2
20201020,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-10-20,2020-10-26,2
20201013,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-10-13,2020-10-19,2
20201006,6025,Imperial,CA,0,6.84,93.16,0,0,0,2020-10-06,2020-10-12,2
20200929,6025,Imperial,CA,0,6.09,93.91,0,0,0,2020-09-29,2020-10-05,2
20200922,6025,Imperial,CA,0,6.09,93.91,0,0,0,2020-09-22,2020-09-28,2
20200915,6025,Imperial,CA,0,6.09,93.91,0,0,0,2020-09-15,2020-09-21,2
20200908,6025,Imperial,CA,0,100,0,0,0,0,2020-09-08,2020-09-14,2
20200901,6025,Imperial,CA,0,100,0,0,0,0,2020-09-01,2020-09-07,2
20200825,6025,Imperial,CA,0,100,0,0,0,0,2020-08-25,2020-08-31,2
20200818,6025,Imperial,CA,0,100,0,0,0,0,2020-08-18,2020-08-24,2
20200811,6025,Imperial,CA,100,0,0,0,0,0,2020-08-11,2020-08-17,2
20200804,6025,Imperial,CA,100,0,0,0,0,0,2020-08-04,2020-08-10,2
20200728,6025,Imperial,CA,100,0,0,0,0,0,2020-07-28,2020-08-03,2
20200721,6025,Imperial,CA,100,0,0,0,0,0,2020-07-21,2020-07-27,2
20200714,6025,Imperial,CA,100,0,0,0,0,0,2020-07-14,2020-07-20,2
20200707,6025,Imperial,CA,100,0,0,0,0,0,2020-07-07,2020-07-13,2
20200630,6025,Imperial,CA,100,0,0,0,0,0,2020-06-30,2020-07-06,2
20200623,6025,Imperial,CA,100,0,0,0,0,0,2020-06-23,2020-06-29,2
20200616,6025,Imperial,CA,100,0,0,0,0,0,2020-06-16,2020-06-22,2
20200609,6025,Imperial,CA,100,0,0,0,0,0,2020-06-09,2020-06-15,2
20200602,6025,Imperial,CA,100,0,0,0,0,0,2020-06-02,2020-06-08,2
20200526,6025,Imperial,CA,100,0,0,0,0,0,2020-05-26,2020-06-01,2
