MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230207,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-02-07,2023-02-13,2
20230131,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-01-31,2023-02-06,2
20230124,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-01-24,2023-01-30,2
20230117,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-01-17,2023-01-23,2
20230110,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-01-10,2023-01-16,2
20230103,6025,Imperial,CA,0,47.65,52.35,0,0,0,2023-01-03,2023-01-09,2
20221227,6025,Imperial,CA,0,47.65,52.35,0,0,0,2022-12-27,2023-01-02,2
20221220,6025,Imperial,CA,0,47.65,52.35,0,0,0,2022-12-20,2022-12-26,2
20221213,6025,Imperial,CA,0,47.65,52.35,0,0,0,2022-12-13,2022-12-19,2
20221206,6025,Imperial,CA,0,0,100,0,0,0,2022-12-06,2022-12-12,2
20221129,6025,Imperial,CA,0,0,100,0,0,0,2022-11-29,2022-12-05,2
20221122,6025,Imperial,CA,0,0,100,0,0,0,2022-11-22,2022-11-28,2
20221115,6025,Imperial,CA,0,0,100,0,0,0,2022-11-15,2022-11-21,2
20221108,6025,Imperial,CA,0,0,100,0,0,0,2022-11-08,2022-11-14,2
20221101,6025,Imperial,CA,0,0,100,0,0,0,2022-11-01,2022-11-07,2
20221025,6025,Imperial,CA,0,0,100,0,0,0,2022-10-25,2022-10-31,2
20221018,6025,Imperial,CA,0,0,100,0,0,0,2022-10-18,2022-10-24,2
20221011,6025,Imperial,CA,0,0,83.23,16.77,0,0,2022-10-11,2022-10-17,2
20221004,6025,Imperial,CA,0,0,82.82,17.18,0,0,2022-10-04,2022-10-10,2
20220927,6025,Imperial,CA,0,0,83.1,16.9,0,0,2022-09-27,2022-10-03,2
20220920,6025,Imperial,CA,0,0,82.78,17.22,0,0,2022-09-20,2022-09-26,2
20220913,6025,Imperial,CA,0,0,82.78,17.22,0,0,2022-09-13,2022-09-19,2
20220906,6025,Imperial,CA,0,0,0,100,0,0,2022-09-06,2022-09-12,2
20220830,6025,Imperial,CA,0,0,0,100,0,0,2022-08-30,2022-09-05,2
20220823,6025,Imperial,CA,0,0,0,57.54,42.46,0,2022-08-23,2022-08-29,2
20220816,6025,Imperial,CA,0,0,0,57.54,42.46,0,2022-08-16,2022-08-22,2
20220809,6025,Imperial,CA,0,0,0,43.91,56.09,0,2022-08-09,2022-08-15,2
20220802,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-08-02,2022-08-08,2
20220726,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-07-26,2022-08-01,2
20220719,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-07-19,2022-07-25,2
20220712,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-07-12,2022-07-18,2
20220705,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-07-05,2022-07-11,2
20220628,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-06-28,2022-07-04,2
20220621,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-06-21,2022-06-27,2
20220614,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-06-14,2022-06-20,2
20220607,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-06-07,2022-06-13,2
20220531,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-05-31,2022-06-06,2
20220524,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-05-24,2022-05-30,2
20220517,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-05-17,2022-05-23,2
20220510,6025,Imperial,CA,0,0,0,44.03,55.97,0,2022-05-10,2022-05-16,2
20220503,6025,Imperial,CA,0,0,0,100,0,0,2022-05-03,2022-05-09,2
20220426,6025,Imperial,CA,0,0,0,100,0,0,2022-04-26,2022-05-02,2
20220419,6025,Imperial,CA,0,0,0,100,0,0,2022-04-19,2022-04-25,2
20220412,6025,Imperial,CA,0,0,0,100,0,0,2022-04-12,2022-04-18,2
20220405,6025,Imperial,CA,0,0,7.79,92.21,0,0,2022-04-05,2022-04-11,2
20220329,6025,Imperial,CA,0,0,7.82,92.18,0,0,2022-03-29,2022-04-04,2
20220322,6025,Imperial,CA,0,0,7.82,92.18,0,0,2022-03-22,2022-03-28,2
20220315,6025,Imperial,CA,0,0,7.82,92.18,0,0,2022-03-15,2022-03-21,2
20220308,6025,Imperial,CA,0,0,7.82,92.18,0,0,2022-03-08,2022-03-14,2
20220301,6025,Imperial,CA,0,0,7.82,92.18,0,0,2022-03-01,2022-03-07,2
20220222,6025,Imperial,CA,0,0,100,0,0,0,2022-02-22,2022-02-28,2
20220215,6025,Imperial,CA,0,0,100,0,0,0,2022-02-15,2022-02-21,2
20220208,6025,Imperial,CA,0,0,100,0,0,0,2022-02-08,2022-02-14,2
20230207,6065,Riverside,CA,0,3.99,84.79,11.22,0,0,2023-02-07,2023-02-13,2
20230131,6065,Riverside,CA,0,3.99,84.91,11.1,0,0,2023-01-31,2023-02-06,2
20230124,6065,Riverside,CA,0,3.99,84.91,11.1,0,0,2023-01-24,2023-01-30,2
20230117,6065,Riverside,CA,0,3.99,84.91,11.1,0,0,2023-01-17,2023-01-23,2
20230110,6065,Riverside,CA,0,3.99,84.91,11.1,0,0,2023-01-10,2023-01-16,2
20230103,6065,Riverside,CA,0,3.99,84.83,11.18,0,0,2023-01-03,2023-01-09,2
20221227,6065,Riverside,CA,0,3.99,84.83,11.18,0,0,2022-12-27,2023-01-02,2
20221220,6065,Riverside,CA,0,3.99,84.83,11.18,0,0,2022-12-20,2022-12-26,2
20221213,6065,Riverside,CA,0,3.99,84.83,11.18,0,0,2022-12-13,2022-12-19,2
20221206,6065,Riverside,CA,0,0,71.4,28.6,0,0,2022-12-06,2022-12-12,2
20221129,6065,Riverside,CA,0,0,71.4,28.6,0,0,2022-11-29,2022-12-05,2
20221122,6065,Riverside,CA,0,0,71.4,28.6,0,0,2022-11-22,2022-11-28,2
20221115,6065,Riverside,CA,0,0,71.4,28.6,0,0,2022-11-15,2022-11-21,2
20221108,6065,Riverside,CA,0,0,43.42,56.58,0,0,2022-11-08,2022-11-14,2
