MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200211,6025,Imperial,CA,100,0,0,0,0,0,2020-02-11,2020-02-17,2
20200204,6025,Imperial,CA,100,0,0,0,0,0,2020-02-04,2020-02-10,2
20200128,6025,Imperial,CA,100,0,0,0,0,0,2020-01-28,2020-02-03,2
20200121,6025,Imperial,CA,100,0,0,0,0,0,2020-01-21,2020-01-27,2
20200114,6025,Imperial,CA,100,0,0,0,0,0,2020-01-14,2020-01-20,2
20200107,6025,Imperial,CA,100,0,0,0,0,0,2020-01-07,2020-01-13,2
20191231,6025,Imperial,CA,100,0,0,0,0,0,2019-12-31,2020-01-06,2
20191224,6025,Imperial,CA,100,0,0,0,0,0,2019-12-24,2019-12-30,2
20191217,6025,Imperial,CA,100,0,0,0,0,0,2019-12-17,2019-12-23,2
20191210,6025,Imperial,CA,100,0,0,0,0,0,2019-12-10,2019-12-16,2
20191203,6025,Imperial,CA,47.62,52.38,0,0,0,0,2019-12-03,2019-12-09,2
20191126,6025,Imperial,CA,0.13,55.37,44.5,0,0,0,2019-11-26,2019-12-02,2
20191119,6025,Imperial,CA,0,55.5,44.5,0,0,0,2019-11-19,2019-11-25,2
20191112,6025,Imperial,CA,0,55.5,44.5,0,0,0,2019-11-12,2019-11-18,2
20191105,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-11-05,2019-11-11,2
20191029,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-10-29,2019-11-04,2
20191022,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-10-22,2019-10-28,2
20191015,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-10-15,2019-10-21,2
20191008,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-10-08,2019-10-14,2
20191001,6025,Imperial,CA,55.69,12.44,31.87,0,0,0,2019-10-01,2019-10-07,2
20190924,6025,Imperial,CA,9.55,58.57,31.87,0,0,0,2019-09-24,2019-09-30,2
20190917,6025,Imperial,CA,9.55,58.57,31.87,0,0,0,2019-09-17,2019-09-23,2
20190910,6025,Imperial,CA,9.55,90.15,0.29,0,0,0,2019-09-10,2019-09-16,2
20190903,6025,Imperial,CA,9.55,90.15,0.29,0,0,0,2019-09-03,2019-09-09,2
20190827,6025,Imperial,CA,9.55,90.15,0.29,0,0,0,2019-08-27,2019-09-02,2
20190820,6025,Imperial,CA,84.24,15.76,0,0,0,0,2019-08-20,2019-08-26,2
20190813,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-08-13,2019-08-19,2
20190806,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-08-06,2019-08-12,2
20190730,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-07-30,2019-08-05,2
20190723,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-07-23,2019-07-29,2
20190716,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-07-16,2019-07-22,2
20190709,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-07-09,2019-07-15,2
20190702,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-07-02,2019-07-08,2
20190625,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-06-25,2019-07-01,2
20190618,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-06-18,2019-06-24,2
20190611,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-06-11,2019-06-17,2
20190604,6025,Imperial,CA,92.86,7.14,0,0,0,0,2019-06-04,2019-06-10,2
20190528,6025,Imperial,CA,34.9,65.1,0,0,0,0,2019-05-28,2019-06-03,2
20190521,6025,Imperial,CA,34.9,65.1,0,0,0,0,2019-05-21,2019-05-27,2
20190514,6025,Imperial,CA,34.9,65.1,0,0,0,0,2019-05-14,2019-05-20,2
20190507,6025,Imperial,CA,34.9,65.1,0,0,0,0,2019-05-07,2019-05-13,2
20190430,6025,Imperial,CA,34.9,65.1,0,0,0,0,2019-04-30,2019-05-06,2
