MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220208,6025,Imperial,CA,0,0,100,0,0,0,2022-02-08,2022-02-14,2
20220201,6025,Imperial,CA,0,0,100,0,0,0,2022-02-01,2022-02-07,2
20220125,6025,Imperial,CA,0,0,100,0,0,0,2022-01-25,2022-01-31,2
20220118,6025,Imperial,CA,0,0,100,0,0,0,2022-01-18,2022-01-24,2
20220111,6025,Imperial,CA,0,0,100,0,0,0,2022-01-11,2022-01-17,2
20220104,6025,Imperial,CA,0,0,100,0,0,0,2022-01-04,2022-01-10,2
20211228,6025,Imperial,CA,0,0,100,0,0,0,2021-12-28,2022-01-03,2
20211221,6025,Imperial,CA,0,0,99.79,0.21,0,0,2021-12-21,2021-12-27,2
20211214,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-12-14,2021-12-20,2
20211207,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-12-07,2021-12-13,2
20211130,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-11-30,2021-12-06,2
20211123,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-11-23,2021-11-29,2
20211116,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-11-16,2021-11-22,2
20211109,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-11-09,2021-11-15,2
20211102,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-11-02,2021-11-08,2
20211026,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-10-26,2021-11-01,2
20211019,6025,Imperial,CA,0,0,99.81,0.19,0,0,2021-10-19,2021-10-25,2
20211012,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-10-12,2021-10-18,2
20211005,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-10-05,2021-10-11,2
20210928,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-09-28,2021-10-04,2
20210921,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-09-21,2021-09-27,2
20210914,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-09-14,2021-09-20,2
20210907,6025,Imperial,CA,0,0,99.69,0.31,0,0,2021-09-07,2021-09-13,2
20210831,6025,Imperial,CA,0,0,68.91,31.09,0,0,2021-08-31,2021-09-06,2
20210824,6025,Imperial,CA,0,0,68.55,31.45,0,0,2021-08-24,2021-08-30,2
20210817,6025,Imperial,CA,0,0,68.55,31.45,0,0,2021-08-17,2021-08-23,2
20210810,6025,Imperial,CA,0,0,68.55,31.45,0,0,2021-08-10,2021-08-16,2
20210803,6025,Imperial,CA,0,0,68.55,31.45,0,0,2021-08-03,2021-08-09,2
20210727,6025,Imperial,CA,0,0,68.28,31.72,0,0,2021-07-27,2021-08-02,2
20210720,6025,Imperial,CA,0,0,68.28,31.72,0,0,2021-07-20,2021-07-26,2
20210713,6025,Imperial,CA,0,0,68.28,31.72,0,0,2021-07-13,2021-07-19,2
20210706,6025,Imperial,CA,0,0,67.88,32.12,0,0,2021-07-06,2021-07-12,2
20210629,6025,Imperial,CA,0,0,67.88,32.12,0,0,2021-06-29,2021-07-05,2
20210622,6025,Imperial,CA,0,0,67.88,32.12,0,0,2021-06-22,2021-06-28,2
20210615,6025,Imperial,CA,0,0,67.44,32.56,0,0,2021-06-15,2021-06-21,2
20210608,6025,Imperial,CA,0,0,67.44,32.56,0,0,2021-06-08,2021-06-14,2
20210601,6025,Imperial,CA,0,0,67.81,32.19,0,0,2021-06-01,2021-06-07,2
20210525,6025,Imperial,CA,0,0,67.81,32.19,0,0,2021-05-25,2021-05-31,2
20210518,6025,Imperial,CA,0,0,68.15,31.85,0,0,2021-05-18,2021-05-24,2
20210511,6025,Imperial,CA,0,0,68.15,31.85,0,0,2021-05-11,2021-05-17,2
20210504,6025,Imperial,CA,0,5.07,91.83,3.1,0,0,2021-05-04,2021-05-10,2
20210427,6025,Imperial,CA,0,5.07,91.83,3.1,0,0,2021-04-27,2021-05-03,2
