element_type,osmid,barrier,geometry,nodes,landuse,name,operator,plant:output:electricity,plant:source,power,ref:US:EIA,source,start_date,plant:method,ways,type,wikidata,wikipedia,operator:short,operator:wikidata,plant:type,alt_name,waterway
relation,14297878,,"MULTIPOLYGON (((-115.62367751052884 32.681712218148625, -115.62370199278655 32.68474190938446, -115.62383930733483 32.68487032563001, -115.62383959836615 32.685095447225585, -115.61854453893868 32.68510139617551, -115.61843772722412 32.68501148449531, -115.61823939878929 32.68501147881514, -115.61813257961872 32.685107784990585, -115.61766721264183 32.6851141722758, -115.61755280086285 32.68499865792297, -115.61752712735297 32.681746945378634, -115.62367751052884 32.681712218148625)), ((-115.61693372819906 32.667104323964836, -115.6169810081819 32.670273929372065, -115.61685768411402 32.6704336411617, -115.60874871791475 32.67052921814867, -115.60849269112214 32.67028168707428, -115.60851185392127 32.66378256419035, -115.60876799925626 32.663567050849174, -115.60970694405574 32.66331155322104, -115.61269447257841 32.663303637991255, -115.61278928265546 32.663391449129854, -115.612779636264 32.66701639660821, -115.61290295010653 32.66711220932987, -115.61693372819906 32.667104323964836)), ((-115.61684835880436 32.68602423608585, -115.61685421233692 32.687205749539245, -115.61695412666208 32.687205752401155, -115.61712430081104 32.690957917016746, -115.61580851333906 32.69092827648532, -115.61573220576263 32.69084426624542, -115.61560880133455 32.6905130309548, -115.61169116220135 32.68745282533813, -115.6116895628612 32.68743062316366, -115.61157371208415 32.685786762235075, -115.61355909929499 32.68572261295522, -115.61357079800479 32.68579672039585, -115.6156383972068 32.685727572986785, -115.61579111712426 32.68577698209837, -115.61602604229262 32.68598960921418, -115.61616706132152 32.68601931610147, -115.61684835880436 32.68602423608585)), ((-115.60897864379342 32.67820096050857, -115.61664344917843 32.67803646424188, -115.61689307405345 32.678309097536136, -115.6169132621521 32.68117717316142, -115.61687274565881 32.68144409759803, -115.61685229563376 32.68511844934763, -115.61053688134083 32.68533968966836, -115.6105708133234 32.68216518625515, -115.61046282058246 32.68159722870084, -115.61000409029378 32.68071123060202, -115.60961955676721 32.68017176785723, -115.60916072396546 32.67934817573727, -115.60897864379342 32.67820096050857)), ((-115.60819864066445 32.67048929856684, -115.60048793130173 32.670592887649896, -115.59566994714815 32.670433034286, -115.59566078237121 32.664524767334576, -115.6019583028159 32.66407780484451, -115.60813248613145 32.66411788549655, -115.60819864066445 32.67048929856684)), ((-115.6049869179829 32.687029792699235, -115.60948847219807 32.68680880048905, -115.61330039338188 32.689938209719564, -115.61503897315826 32.69167342587782, -115.61500373088444 32.69260271395566, -115.60941772185245 32.69280527333163, -115.60941181902679 32.692854677898424, -115.60521200955812 32.693037475070135, -115.6049869179829 32.687029792699235)), ((-115.59510509581128 32.66469766800023, -115.59513587348177 32.67036111208567, -115.59505835976128 32.670426316118196, -115.59117540638617 32.67034789733135, -115.5825257701644 32.67026284125764, -115.58246394817158 32.665597792092385, -115.58255696698902 32.66546078161803, -115.59440769869083 32.66462704124609, -115.59498108247816 32.66458675380841, -115.59510509581128 32.66469766800023)))","[[[8332327663, 8332327664, 8332327665, 8332327666, 8332327667, 8332327668, 8332327669, 8332327670, 8332327671, 8332327672, 8332327673, 8332327663], [8332346741, 8332346742, 8332346743, 8332346744, 8332346745, 8332346746, 8332346747, 8332346748, 8332346749, 8332346750, 8332346751, 8332346752, 8332346741], [8332346757, 8332346758, 8332346759, 8332346760, 8332346761, 8332346762, 8332346763, 8332346764, 8332346780, 8332346765, 8332346766, 8332346767, 8332346768, 8332346769, 8332346770, 8332346771, 8332346757], [8332346772, 8332346773, 8332346774, 8332346775, 8332346776, 8332346777, 8332346778, 8332346779, 8332346772], [8332284602, 8332284603, 8332284604, 8332284605, 8332284606, 8332284607, 8332284608, 8332284609, 8332284610, 8332284611, 8332284612, 8332284613, 8332284602], [8332284614, 8332284615, 8332284616, 8332346717, 8332346718, 8332346719, 8332284614], [8332346733, 8332346734, 8379297570, 8332346735, 8332346736, 8332346737, 8332346738, 8332346739, 8332346740, 8332346733]]]",,Wistaria Ranch Solar,Consolidated Edison Development Inc.,106.7 MW,solar,plant,61750,U.S. Energy Information Administration - EIA-860 - 2021,2018-12,photovoltaic,"[896354051, 896355478, 896355480, 896355481, 896355473, 896355474, 896355477]",multipolygon,,,,,,,
relation,14297879,,"MULTIPOLYGON (((-115.66192042770902 32.67837509202212, -115.66450649875979 32.678370665510236, -115.66565989994871 32.67997845272234, -115.66565981387971 32.68213255937178, -115.6669582006382 32.68211899517905, -115.66698500507117 32.68460723463947, -115.66535396103772 32.68486001226758, -115.66187196308623 32.684823809259704, -115.66192042770902 32.67837509202212)), ((-115.65292844814148 32.67812651111515, -115.66129274689551 32.67814475198286, -115.6612710617451 32.68520312846558, -115.65284765478432 32.685175784988914, -115.65292844814148 32.67812651111515)), ((-115.65240236944253 32.685713123791885, -115.65251199319079 32.693014727168546, -115.65266760910191 32.693174946983824, -115.65288735000954 32.70043984985458, -115.64505682542715 32.700475729228074, -115.64485830364214 32.70030860752491, -115.64439183972378 32.692736768203886, -115.63523883614435 32.69251068457734, -115.6352766203578 32.685543317558306, -115.65240236944253 32.685713123791885)), ((-115.65234896648724 32.678090391081, -115.6522735755262 32.68509896120266, -115.63822756201856 32.6850805576256, -115.6382114999961 32.6840735605913, -115.63504604736285 32.68404186696951, -115.6351482022503 32.67803569383871, -115.65234896648724 32.678090391081)), ((-115.64477616351456 32.70101687307374, -115.64476517892327 32.70808695047902, -115.64054817549885 32.70805072628447, -115.6365351181431 32.70509802837753, -115.63620248634281 32.704700780777316, -115.63612741932769 32.703608173899624, -115.63615972917118 32.700980522947035, -115.64477616351456 32.70101687307374)), ((-115.64463836432412 32.70050281984918, -115.63623646039593 32.70047547672972, -115.63545338847925 32.69447037861148, -115.63663905851264 32.694470412554075, -115.63659081972182 32.69276814796154, -115.64412359294326 32.692944480445206, -115.64463836432412 32.70050281984918)), ((-115.62614781185853 32.68553175514835, -115.63451751250454 32.6855183934432, -115.63449050517855 32.69060298024063, -115.6265231607173 32.69065235688604, -115.62614781185853 32.68553175514835)), ((-115.61741865523618 32.68565791729474, -115.6258258647926 32.68555434809773, -115.62618510880885 32.690738155432946, -115.61781010650775 32.69077401902974, -115.61741865523618 32.68565791729474)))","[[[4196335368, 4196335378, 4196335377, 4196335367, 4196335368], [4196335373, 4196335380, 4196335379, 4196335371, 4196335373], [4196335171, 4196335169, 4196335157, 4196335158, 4196335384, 4196335386, 4196335171], [4196335375, 4196335387, 4196335389, 4196335168, 4196335170, 4196335167, 4196335383, 4196335381, 4196335370, 4196335375], [4196335343, 4196335359, 4196335360, 4196335358, 4196335352, 4196335353, 4196335347, 4196335342, 4196335343], [4196335339, 4196335340, 4196335365, 4196335364, 4196335339], [4196335338, 4196335363, 4196335362, 4196335355, 4196335354, 4196335337, 4196335338], [6465959375, 6465959374, 6465959373, 6465959372, 6465959371, 6465959370, 6465959369, 6465959375]]]",,Centinela Solar Energy,"CD Arevon USA, Inc.",174.8 MW,solar,plant,58430,U.S. Energy Information Administration - EIA-860 - 2021,2013-07,photovoltaic,"[419597373, 419597374, 419597380, 419597386, 419597384, 419597372, 419597381, 689254701]",multipolygon,Q5060157,,,,,,
way,315098441,,"POLYGON ((-115.57442872139661 33.21161754325849, -115.57442595079267 33.208464245188544, -115.57442566405086 33.208141114642636, -115.57327659836115 33.208141781275955, -115.56755847430922 33.20813411417165, -115.5675559425464 33.211325515673785, -115.5677812661568 33.21154104259688, -115.57442872139661 33.21161754325849))","[3211891464, 2302141139, 2302141123, 2302141121, 3211891469, 3211891478, 3211891477, 3211891464]",industrial,John L. Featherstone Plant,Hudson Ranch Power I LLC,55 MW,geothermal,plant,57475,Bing,2012-03,,,,,,,,,,
way,964189672,,"POLYGON ((-115.61909496809264 33.17006471139435, -115.61905029115904 33.17178367277445, -115.61110484390873 33.171828946504164, -115.61107691226053 33.170064578731136, -115.61909496809264 33.17006471139435))","[9849124044, 8918467793, 8918467794, 9849124045, 9849124044]",industrial,Del Ranch Company,CalEnergy Operating Corporation,45.5 MW,geothermal,plant,10632,U.S. Energy Information Administration - EIA-860 - 2021,1988-10,,,,,,,,,,
way,964189673,,"POLYGON ((-115.60200090711604 33.18460499091308, -115.5977986019474 33.18458936738096, -115.59775223320779 33.1836654786473, -115.59687090775331 33.183626649374816, -115.59679672799308 33.1828734759794, -115.6020473865049 33.182834824822606, -115.60200090711604 33.18460499091308))","[8918467797, 8918467798, 8918467799, 8918467800, 8918467801, 8918467802, 8918467797]",industrial,Elmore Company,CalEnergy Operating Corporation,45.5 MW,geothermal,plant,10634,U.S. Energy Information Administration - EIA-860 - 2021,1988-11,,,,,,,,,,
way,964189674,,"POLYGON ((-115.56298353783161 33.185704760872056, -115.55909627700616 33.18571914915028, -115.55906147821106 33.18313690397315, -115.55946244889613 33.18282328598212, -115.56307947046245 33.18281609051351, -115.56298353783161 33.185704760872056))","[8918467803, 8918467804, 8918467805, 8918467806, 8918467807, 8918467803]",industrial,CE Leathers,CalEnergy Operating Corporation,45.5 MW,geothermal,plant,10631,U.S. Energy Information Administration - EIA-860 - 2021,1989-11,,,,,,,,,,
way,1073692890,,"POLYGON ((-115.62240533193139 33.05053087615133, -115.62568880354573 33.05055797366059, -115.62569423035478 33.049919313174684, -115.62617709987303 33.049919327136124, -115.62616103641226 33.04896593614197, -115.62576937984304 33.04897042524546, -115.62562985572137 33.04906943061295, -115.6256191481358 33.04921774438666, -115.62553323595066 33.04921324147531, -115.62553324181214 33.04906942781953, -115.6253830247708 33.04895691279268, -115.6224107972401 33.04894782599578, -115.62240533193139 33.05053087615133))","[9849123957, 9849123956, 9849123955, 9849123954, 9849123953, 9849123952, 9849123951, 9849123950, 9849123949, 9849123948, 9849123947, 9849123946, 9849123957]",,Valencia 1 Solar,ZGlobal Inc,3 MW,solar,plant,61418,U.S. Energy Information Administration - EIA-860 - 2021,2017-09,,,,,,,,,,
way,1073692897,fence,"POLYGON ((-115.53317235715456 33.16103446028639, -115.54066213588878 33.1610391786803, -115.54102158139014 33.161191903586285, -115.54117720325344 33.16120540939172, -115.54111792598 33.16774022581446, -115.54086298906672 33.16774471882082, -115.54086568613165 33.167825526542444, -115.53377026317709 33.16784382176678, -115.53311296841756 33.16784550279283, -115.53311608318542 33.16749746996709, -115.53317235715456 33.16103446028639))","[9849124005, 9849124004, 9849124003, 9849124002, 9849124001, 9849124000, 9849123999, 9849123995, 9849123998, 9849123997, 9849124005]",,Midway Solar Farm III,Greenbacker Renewable Energy Corporation,20 MW,solar,plant,60315,U.S. Energy Information Administration - EIA-860 - 2021,2018-09,,,,,,,,,,
way,1073692902,,"POLYGON ((-115.61107691226053 33.170064578731136, -115.6110505766972 33.168401120546235, -115.6191387435409 33.16837865309438, -115.61909496809264 33.17006471139435, -115.61107691226053 33.170064578731136))","[9849124045, 8918467795, 8918467796, 9849124044, 9849124045]",industrial,Vulcan-BN Geothermal Power Company,CalEnergy Operating Corporation,39.6 MW,geothermal,plant,50210,U.S. Energy Information Administration - EIA-860 - 2021,1985-12,,,,,,,,,,
relation,14297876,,"MULTIPOLYGON (((-115.54909526517949 33.18257346071636, -115.54152237487708 33.18255073814954, -115.54150384644713 33.17588680750141, -115.54867708000624 33.17588701627191, -115.54928312107538 33.18187289994294, -115.54903098400176 33.18189089430686, -115.54909526517949 33.18257346071636)), ((-115.54150955247582 33.1684678060279, -115.541737488272 33.1683959058602, -115.54193331805234 33.168357807955296, -115.54979334946336 33.168382738998275, -115.54970329136904 33.17434330013877, -115.54943495288983 33.174338791905114, -115.54943232046251 33.175117965517174, -115.54152798179868 33.17511213494716, -115.54150955247582 33.1684678060279)), ((-115.54113106969729 33.174016319767205, -115.54105325377026 33.174130928340716, -115.54019753057426 33.17412860321488, -115.54018138953937 33.17506939171173, -115.53486982639524 33.17501763220052, -115.534867153364 33.17435296927105, -115.53275595003318 33.17433270589101, -115.53272938858146 33.16844284812222, -115.53279910268995 33.16834404080675, -115.54098107938731 33.16839368363861, -115.54108829030815 33.16850369716385, -115.54116877779819 33.169089754936444, -115.54113106969729 33.174016319767205)))","[[[9849123963, 9849123965, 9849123964, 8632244505, 9849123978, 9849123977, 9849123976, 9849123980, 9849123981, 9849123972, 9849123971, 9849123960, 9849123963], [9849123968, 9849123969, 9849123970, 8632244502, 9849123967, 9849123966, 8632244503, 8632244504, 9849123968], [8632244506, 9849123962, 9849123961, 8632244507, 8632244508, 8632244509, 8632244506]]]",,Midway Solar Farm 1,"83WI 8ME, LLC",50 MW,solar,plant,60336,U.S. Energy Information Administration - EIA-860 - 2021,2018-01,photovoltaic,"[931029270, 1073692891, 931029271]",multipolygon,,,,,,,
relation,14297880,,"MULTIPOLYGON (((-115.64495069847834 33.167557823806845, -115.6428700996472 33.16752966084397, -115.64283686370347 33.160965438433244, -115.6447608399321 33.160993596847696, -115.6450148587284 33.16142894542717, -115.64495069847834 33.167557823806845)), ((-115.63613754213989 33.157443410818075, -115.63612801044884 33.16062521179547, -115.63301386178215 33.160618620904714, -115.63302339348523 33.157436919944395, -115.63613754213989 33.157443410818075)), ((-115.63397818962572 33.16089137468065, -115.63595257453574 33.160884531261814, -115.63642344208893 33.160892545668375, -115.63653475615759 33.16094085346828, -115.6365347058777 33.16216816966179, -115.6365159024336 33.16218607081151, -115.63653054631274 33.16360760581347, -115.63651454248557 33.16364470886208, -115.63650509609278 33.16474391264679, -115.63630516722438 33.16474500695502, -115.63631456080208 33.16493482519654, -115.63418325339869 33.16493816372905, -115.63404382535013 33.16269134698929, -115.63406133026639 33.16263294196758, -115.63397818962572 33.16089137468065)))","[[[4356726887, 4356726898, 4356726899, 4356726909, 4356726908, 4356726907, 4356726906, 4356726903, 4356726902, 4356726895, 4356726894, 4356726889, 4356726888, 4356726886, 4356726887], [4356726860, 4356726859, 4356726879, 4356726880, 4356726860], [8918467788, 8918467789, 8918467790, 8918467791, 8918467792, 8918467788]]]",industrial,Salton Sea Power,CalEnergy Operating Corporation,189.7 MW,geothermal,plant,10879;10878;54996;10759;55983,U.S. Energy Information Administration - EIA-860 - 2021,1982-07,,"[437894424, 437894425, 964189671]",multipolygon,,,,,,,
way,166649173,,"POLYGON ((-115.49610326895066 33.24943453027806, -115.49442802735956 33.24943698156568, -115.49441275239604 33.24877861901074, -115.4960910950695 33.24876076635994, -115.49610326895066 33.24943453027806))","[1780917778, 1780917780, 1780917770, 1780917768, 1780917778]",industrial,Niland Gas Turbine Plant,Imperial Irrigation District,121 MW,gas,plant,56569,U.S. Energy Information Administration - EIA-860 - 2021,2008-06,combustion,,,,,IID,Q16985775,,,
way,917201159,,"POLYGON ((-115.48991263516369 33.25526749959882, -115.48995070918757 33.248778988669464, -115.49047350215746 33.248353363794195, -115.49423554468069 33.24834767317822, -115.49424916954189 33.250211249381366, -115.49788729235856 33.25025075939838, -115.49777947068702 33.25523272620369, -115.48991263516369 33.25526749959882))","[9849124016, 8519092428, 8519092429, 8519092430, 8519092431, 8519092432, 9849124015, 9849124016]",,Imperial Valley Solar Company 1 LLC,Imperial Irrigation District,23 MW,solar,plant,58062,U.S. Energy Information Administration - EIA-860 - 2021,2012-06,photovoltaic,,,,,IID,Q16985775,,,
way,931029265,fence,"POLYGON ((-115.49681003649688 33.15334697418204, -115.4980118091315 33.15335711015933, -115.49805767341026 33.14709751936078, -115.49664396967184 33.14710197859536, -115.49663058031967 33.146796449301036, -115.48971488616658 33.14675804415223, -115.48976282115675 33.15336137016073, -115.49681003649688 33.15334697418204))","[8632244463, 8632244464, 9849123958, 9849123959, 8632244465, 8632244466, 8632244467, 8632244463]",,Calipatria Solar Farm,Southern Power Co,20 MW,solar,plant,59088,U.S. Energy Information Administration - EIA-860 - 2021,2016-02,photovoltaic,,,,,,,,,
way,964177732,,"POLYGON ((-115.54031360611746 33.02143383655193, -115.53303045865063 33.021432925314755, -115.53303080261658 33.02035772322652, -115.53596632477597 33.020358508411704, -115.53596666146781 33.019461223213426, -115.54031398669264 33.01946184929513, -115.54031360611746 33.02143383655193))","[8918342269, 8918342270, 8918342271, 8918342272, 8918342273, 8918342274, 8918342269]",industrial,North Brawley Geothermal Plant,Ormat,80 MW,geothermal,plant,56832,U.S. Energy Information Administration - EIA-860 - 2021,2009-10,,,,,,,,,,
way,1033095256,fence,"POLYGON ((-115.48991125863206 33.174811902728074, -115.4899468489106 33.170320479180766, -115.49384060879459 33.17034209476084, -115.49380511855868 33.174833518324526, -115.48991125863206 33.174811902728074))","[9518169079, 9518169078, 9518169077, 9518169076, 9518169079]",,Calipatria State Prison,"Ecoplexus, Inc",6 MW,solar,plant,64521,U.S. Energy Information Administration - EIA-860 - 2021,2019-12,photovoltaic,,,,,,,,,
way,1073692900,,"POLYGON ((-115.49777947068702 33.25523272620369, -115.49762565455453 33.262335291591555, -115.49359537421097 33.262317972171566, -115.49269846373933 33.261863003051396, -115.48988836050779 33.259401988826546, -115.48991263516369 33.25526749959882, -115.49777947068702 33.25523272620369))","[9849124015, 8519092425, 8519092426, 10674171035, 8519092427, 9849124016, 9849124015]",,Imperial Valley Solar Co 2,Onward Energy,20 MW,solar,plant,59657,U.S. Energy Information Administration - EIA-860 - 2021,2015-06,photovoltaic,,,,,,,,,
relation,14180413,,"MULTIPOLYGON (((-115.47159391603206 33.14581862700965, -115.4715995575534 33.13997517441349, -115.46482868317169 33.13996937640966, -115.46481386429295 33.1428029440146, -115.46447451544624 33.14280293411527, -115.46446899066648 33.14581171854213, -115.47159391603206 33.14581862700965)), ((-115.46394061566119 33.153064389028486, -115.46394804832573 33.14744595791062, -115.47107167353136 33.14745256632513, -115.47106434095058 33.15307089746743, -115.46394061566119 33.153064389028486)), ((-115.45533447705981 33.15305723720349, -115.4553427100585 33.147435405824865, -115.46287809450095 33.14744122624851, -115.46286586104485 33.15306185742973, -115.45533447705981 33.15305723720349)), ((-115.44467124392342 33.17481658259101, -115.4378896677977 33.17481128392867, -115.43789590109256 33.1691852524869, -115.44467747715603 33.16919055111969, -115.44467124392342 33.17481658259101)), ((-115.44665802974964 33.17482194114236, -115.4538902702967 33.174840154118655, -115.45397078244649 33.174826655194465, -115.454043196395 33.17474134924806, -115.45403673067615 33.1690435105771, -115.45400862871891 33.168992904973564, -115.45394152104684 33.16894469845773, -115.44666767457903 33.16892648429922, -115.44661536588814 33.16895458542708, -115.44655905541951 33.16901178918848, -115.4465816207436 33.17477363434544, -115.44660502283664 33.174804537949306, -115.44665802974964 33.17482194114236)), ((-115.44518681208488 33.18222579769446, -115.43786025692071 33.182232284180884, -115.43785231614373 33.17593138867001, -115.44387388329785 33.1759260641288, -115.44387823899794 33.17943439573571, -115.44518332695424 33.179433233761145, -115.44518681208488 33.18222579769446)), ((-115.47171753847653 33.087366997415735, -115.46394692235083 33.087324867127805, -115.46399717699387 33.08130299807853, -115.47108409526948 33.08133110709713, -115.47106736718915 33.08439099653286, -115.47168425593154 33.08439101449572, -115.47171753847653 33.087366997415735)), ((-115.4716820370921 33.09457797947092, -115.46390491782336 33.09458735382874, -115.46391666092978 33.088713597801636, -115.4716937781558 33.08875212794631, -115.4716820370921 33.09457797947092)), ((-115.46265834636573 33.094395699360255, -115.45529288836543 33.09435718109909, -115.45531602728681 33.08862703904337, -115.46122897666422 33.088656014056724, -115.46127456861528 33.09144437950796, -115.46262416197294 33.09146362064695, -115.46265834636573 33.094395699360255)))","[[[8684890974, 8684890975, 8684890976, 8684890977, 8684890978, 8684890979, 8684890974], [8684864429, 8684864430, 8684864431, 8684864432, 8684864433, 8684864434, 8684864429], [8684864425, 8684864426, 8684864427, 8684864428, 8684864425], [7903377628, 7903377627, 7903377626, 7903377625, 7903377624, 7903377623, 7903377628], [7903377693, 7903377692, 7903377691, 7903377690, 7903377693], [7903377697, 7903377696, 7903377695, 7903377694, 7903377697], [7903623899, 7903623898, 7903623897, 7903623896, 7903623899], [7903377758, 7903377757, 7903377756, 7903377755, 7903377754, 7903377753, 7903377752, 7903377751, 7903377750, 7903377749, 7903377748, 7903377747, 7903377758], [7903623905, 7903623904, 7903623903, 7903623902, 7903623901, 7903623900, 7903623905]]]",,Solar Gen 2 Solar Facility,Southern Power Co,163.2 MW,solar,plant,58592,U.S. Energy Information Administration - EIA-860 - 2020,2014-11,photovoltaic,"[937323225, 937321850, 937321849, 846976432, 846976437, 846976438, 847004282, 846976444, 847004283]",multipolygon,,,,,,,
relation,14297875,,"MULTIPOLYGON (((-115.43742468947697 33.204111237665195, -115.43708394021864 33.204115728122915, -115.43678350466115 33.2039294017446, -115.43644955665987 33.20392719176846, -115.43627254579589 33.203573653213425, -115.43559384842906 33.203564632510506, -115.43342231372621 33.20167909097567, -115.43202750862581 33.199364731664744, -115.43204494025251 33.19866096572555, -115.4319671315556 33.19860035772704, -115.43197123521243 33.19852625084987, -115.43204894891035 33.198465647400766, -115.43204367410506 33.197838288010274, -115.43211608699401 33.19777878450982, -115.43412397784621 33.197737239313426, -115.43655712979582 33.197699206880266, -115.43743436252613 33.19754431790772, -115.43742468947697 33.204111237665195)), ((-115.42840479954214 33.196643868790424, -115.42739345447322 33.19663043793739, -115.42465324388789 33.19460096614468, -115.42018553704172 33.191304124122915, -115.42018558655437 33.19010761113581, -115.42836616403125 33.190115651194326, -115.42840479954214 33.196643868790424)))","[[[9518284086, 9518284085, 9518284084, 9518284083, 9518284082, 9518284081, 9518284080, 9518284079, 9518284078, 9518284077, 9518284076, 9518284075, 9518284074, 9518284073, 9518284072, 9518284071, 9518284070, 9518284086], [9518284092, 9518284091, 9518284090, 9518284089, 9518284088, 9518284087, 9518284092]]]",,Citizens Imperial Solar,Citizens Enterprises Corporation,30 MW,solar,plant,62052,U.S. Energy Information Administration - EIA-860 - 2021,2019-08,photovoltaic,"[1033106063, 1033106064]",multipolygon,,,,,,,
relation,14297877,,"MULTIPOLYGON (((-115.5323696866214 33.17452131247982, -115.53045161065815 33.174512255776484, -115.53043818432074 33.175105111444786, -115.52420648609224 33.17511613101154, -115.52420006178279 33.1683965954182, -115.53234573386786 33.16842933567604, -115.53238333374158 33.16856404951125, -115.5323696866214 33.17452131247982)), ((-115.52422438936304 33.16781164080717, -115.52420546075332 33.1611504102379, -115.53229672558392 33.16116664730607, -115.53237295858665 33.1679238886651, -115.52422438936304 33.16781164080717)))","[[[8632244496, 8632244497, 8632244498, 8632244499, 8632244496], [9849123975, 9849123974, 9849123973, 8632244500, 8632244501, 9849123982, 9849123979, 9849123975]]]",,Midway Solar Farm II,Dominion Renewable Energy,30 MW,solar,plant,60237,U.S. Energy Information Administration - EIA-860 - 2021,2017-05,photovoltaic,"[931029269, 1073692892]",multipolygon,,,,,,,
way,90915140,,"POLYGON ((-115.54035981015996 32.809781781406755, -115.54053812552668 32.80260900143347, -115.53223103209984 32.802648365762686, -115.53223074431592 32.80976834577797, -115.54035981015996 32.809781781406755))","[1055476714, 1055476110, 1055475925, 1055476792, 1055476714]",industrial,El Centro Power Plant,Imperial Irrigation District,388.3 MW,gas,plant,389,U.S. Energy Information Administration - EIA-860 - 2021,1952-08,combustion,,,,,IID,Q16985775,combined_cycle,,
way,192558741,,"POLYGON ((-115.51620199520801 32.72179247293163, -115.5161585801819 32.72201109260682, -115.51607256410453 32.72210419904249, -115.51329156496506 32.72211832034362, -115.51319532620576 32.71528836381578, -115.513206729672 32.71524285978798, -115.5132394355186 32.71521405797215, -115.51331914732829 32.71520445934747, -115.51384592305588 32.71519857394503, -115.51620199520801 32.72179247293163))","[2031074759, 8918398904, 2031074767, 2031074770, 2031074683, 2031074682, 2031074681, 2031074680, 2031074679, 2031074759]",industrial,Heber 1 Geothermal Plant,Ormat,81.5 MW,geothermal,plant,54689,U.S. Energy Information Administration - EIA-860 - 2021,1985-06,,,,,,,,,,
way,429981166,fence,"POLYGON ((-115.25393802701363 32.82275431461625, -115.25344665664174 32.822754600314234, -115.25293748371683 32.82275498550224, -115.25293710058986 32.82234104606363, -115.25159240800456 32.82234200693979, -115.2515907768364 32.82065314602658, -115.25488194818273 32.82065094178926, -115.25488357935981 32.82233980270683, -115.25393764388602 32.82234037517729, -115.25393802701363 32.82275431461625))","[4291963371, 4291963372, 4291963373, 4291963363, 4291963364, 4291963354, 4291963353, 4291963360, 4291963361, 4291963371]",industrial,Ormesa I,Ormat Nevada Inc,26.4 MW,geothermal,plant,50766,U.S. Energy Information Administration - EIA-860 - 2020,1986-12,,,,,,,,,,
way,607132293,,"POLYGON ((-115.2607006292893 32.78274899904124, -115.2591715103273 32.78275125472344, -115.25919027058761 32.78379095441044, -115.25860278806601 32.783752533636324, -115.25855722304769 32.78273543532419, -115.25810657023277 32.78244899488509, -115.25812002535133 32.78114537096598, -115.26054237123405 32.78116574345392, -115.26055045914303 32.781490474656195, -115.26071948333586 32.78149047957889, -115.2607006292893 32.78274899904124))","[5754581953, 5754581952, 5754581951, 5754581950, 5754581949, 5754581948, 5754581947, 5754581946, 5754581945, 5754581944, 5754581953]",industrial,Geo East Mesa II and Ormesa III,Ormat Nevada Inc,67.2 MW,geothermal,plant,54038;10763,U.S. Energy Information Administration - EIA-860 - 2020,1989-04,,,,,,,,,,
way,931590517,,"POLYGON ((-115.53480235465224 32.72195542370308, -115.53078117552033 32.722023514556014, -115.53065803846567 32.7150505434695, -115.5346966135191 32.7151446686258, -115.53480235465224 32.72195542370308))","[8636614067, 8636614066, 8636614064, 8636614062, 8636614067]",industrial,Heber 2 Geothermal Plant,Ormat,80 MW,geothermal,plant,54111,U.S. Energy Information Administration - EIA-860 - 2021,1993-06,,,,,,,,,Second Imperial Geothermal,
way,964185965,,"POLYGON ((-115.53904065993537 32.72201135094744, -115.53480235465224 32.72195542370308, -115.5346966135191 32.7151446686258, -115.53873609459838 32.71509267979991, -115.5388509080623 32.71516709022568, -115.53885528446605 32.715769348016096, -115.53891278732601 32.715903162481695, -115.53904065993537 32.72201135094744))","[8918398897, 8636614067, 8636614062, 8918398900, 8918398901, 8918398902, 8918398903, 8918398897]",industrial,Heber Solar,Axium US Solar Holdings LLC,10.9 MW,solar,plant,58398,U.S. Energy Information Administration - EIA-860 - 2020,2014-05,,,,,,,,,,
way,1073692869,,"POLYGON ((-115.38813346682835 32.67931571371627, -115.38862403885611 32.679270623575476, -115.38860894952121 32.67895309274429, -115.38808817403573 32.67897677996371, -115.38813346682835 32.67931571371627))","[2045550074, 9849088310, 9849088309, 2045550059, 2045550074]",industrial,Drop 5,Imperial Irrigation District,4 MW,hydro,plant,314,U.S. Energy Information Administration - EIA-860 - 2021,1982-03,,,,,,IID,Q16985775,,,dam
way,1073692874,,"POLYGON ((-115.27917580458998 32.70581769219655, -115.27924601711858 32.70575648838636, -115.27883627204679 32.70542324463894, -115.27876605952231 32.70548434843958, -115.27917580458998 32.70581769219655))","[9849123829, 9849123828, 9849123827, 9849123826, 9849123829]",industrial,East Highline Power Plant,Imperial Irrigation District,2.4 MW,hydro,plant,586,U.S. Energy Information Administration - EIA-860 - 2021,1984-09,,,,,,IID,Q16985775,,,
way,1073692877,fence,"POLYGON ((-115.50638871127144 32.911473997855346, -115.50638015670442 32.907867254162554, -115.51039093372307 32.907841967811265, -115.51040808829632 32.911479514697454, -115.50638871127144 32.911473997855346))","[9849123848, 9849123842, 9849123841, 9849123840, 9849123848]",,Mesquite Lake Energy Park Plant 2,Mesquite Lake Energy Park,21 MW,biomass,plant,50363,U.S. Energy Information Administration - EIA-860 - 2021,1987-11,,,,,,,,,,
